"Province","District","Facility","DatimTarget","DATIMTarget_Adj","Indicator","Group"
"Luapula","Chifunabuli","Nambale Rural Health Centre",28,31,"TX_CURR","Adults"
"Luapula","Chifunabuli","Shikamushile Rural Health Centre",334,369,"TX_CURR","Adults"
"Luapula","Chipili","Chipili Rural Health Centre",372,411,"TX_CURR","Adults"
"Luapula","Chipili","Chisheta Rural Health Centre",36,40,"TX_CURR","Adults"
"Luapula","Chipili","Kalundu Rural Health Centre",119,131,"TX_CURR","Adults"
"Luapula","Chipili","Luminu Rural Health Centre",38,41,"TX_CURR","Adults"
"Luapula","Chipili","Mukanga Health Post",33,37,"TX_CURR","Adults"
"Luapula","Chipili","Mukonshi Rural Health Centre",51,57,"TX_CURR","Adults"
"Luapula","Chipili","Mupeta Rural Health Centre",33,36,"TX_CURR","Adults"
"Luapula","Chipili","Mutipula Rural Health Centre",93,103,"TX_CURR","Adults"
"Luapula","Chipili","Mwenda Rural Health Centre",446,492,"TX_CURR","Adults"
"Luapula","Kawambwa","Kawambwa District Hospital",1542,1705,"TX_CURR","Adults"
"Luapula","Kawambwa","Kawambwa Hospital Affiliated Health Centre",445,492,"TX_CURR","Adults"
"Luapula","Kawambwa","Kawambwa Tea Rural Health Centre",416,460,"TX_CURR","Adults"
"Luapula","Kawambwa","Mufwaya Rural Health Centre",103,114,"TX_CURR","Adults"
"Luapula","Kawambwa","Munkanta Rural Health Centre",985,1087,"TX_CURR","Adults"
"Luapula","Kawambwa","Mushota Zonal Rural Health Centre",693,767,"TX_CURR","Adults"
"Luapula","Kawambwa","Muyembe Rural Health Centre",39,44,"TX_CURR","Adults"
"Luapula","Lunga","Bwalya Mponda Rural Health Centre",64,77,"TX_CURR","Adults"
"Luapula","Lunga","Kalima Nkonde Rural Health Centre",44,50,"TX_CURR","Adults"
"Luapula","Lunga","Kasoma Lunga Rural Health Centre",104,120,"TX_CURR","Adults"
"Luapula","Lunga","Nsalushi Rural Health Centre",92,106,"TX_CURR","Adults"
"Luapula","Mansa","Buntungwa Urban Health Centre",2129,-39,"TX_CURR","Adults"
"Luapula","Mansa","Central Urban Health Centre",3031,3344,"TX_CURR","Adults"
"Luapula","Mansa","Chisembe Rural Health Centre",159,176,"TX_CURR","Adults"
"Luapula","Mansa","Chisunka Rural Health Centre",67,74,"TX_CURR","Adults"
"Luapula","Mansa","Fibale Health Post",445,492,"TX_CURR","Adults"
"Luapula","Mansa","Fimpulu Rural Health Centre",114,126,"TX_CURR","Adults"
"Luapula","Mansa","Fiyongoli Health Post",536,594,"TX_CURR","Adults"
"Luapula","Mansa","Kabunda Rural Health Centre",74,82,"TX_CURR","Adults"
"Luapula","Mansa","Kafula Health Post",37,41,"TX_CURR","Adults"
"Luapula","Mansa","Kalaba Rural Health Centre (Mansa)",118,130,"TX_CURR","Adults"
"Luapula","Mansa","Kansenga Rural Health Centre",71,78,"TX_CURR","Adults"
"Luapula","Mansa","Kapanda Mini-Hospital",82,91,"TX_CURR","Adults"
"Luapula","Mansa","Kapompwa Health Post",368,406,"TX_CURR","Adults"
"Luapula","Mansa","Kasongo Mini-Hospital",223,247,"TX_CURR","Adults"
"Luapula","Mansa","Katangwe Rural Health Centre",89,98,"TX_CURR","Adults"
"Luapula","Mansa","Lubende Rural Health Centre",162,180,"TX_CURR","Adults"
"Luapula","Mansa","Mabumba Rural Health Centre",553,613,"TX_CURR","Adults"
"Luapula","Mansa","Malamba Health Post",70,78,"TX_CURR","Adults"
"Luapula","Mansa","Mano Rural Health Centre",93,103,"TX_CURR","Adults"
"Luapula","Mansa","Mansa Correctional Facility",72,79,"TX_CURR","Adults"
"Luapula","Mansa","Mansa District Hospital",98,108,"TX_CURR","Adults"
"Luapula","Mansa","Mansa General Hospital",3600,3976,"TX_CURR","Adults"
"Luapula","Mansa","Mantumbusa Rural Health Centre",158,174,"TX_CURR","Adults"
"Luapula","Mansa","Mashimi Health Post",14,15,"TX_CURR","Adults"
"Luapula","Mansa","Matanda Rural Health Centre",49,54,"TX_CURR","Adults"
"Luapula","Mansa","Matelo Health Post",11,13,"TX_CURR","Adults"
"Luapula","Mansa","Mibenge Rural Health Centre",126,139,"TX_CURR","Adults"
"Luapula","Mansa","Moloshi Rural Health Centre",39,43,"TX_CURR","Adults"
"Luapula","Mansa","Mufuma Health Post",27,31,"TX_CURR","Adults"
"Luapula","Mansa","Musaila Rural Health Centre",172,190,"TX_CURR","Adults"
"Luapula","Mansa","Musumali Health Post",792,875,"TX_CURR","Adults"
"Luapula","Mansa","Mutiti Rural Health Centre",76,84,"TX_CURR","Adults"
"Luapula","Mansa","Mutwewankoko Rural Health Centre",13,15,"TX_CURR","Adults"
"Luapula","Mansa","Muwanguni Rural Health Centre",162,178,"TX_CURR","Adults"
"Luapula","Mansa","Mwela Health Post",15,16,"TX_CURR","Adults"
"Luapula","Mansa","Namwandwe Health Post",720,795,"TX_CURR","Adults"
"Luapula","Mansa","Ndoba Rural Health Centre",208,230,"TX_CURR","Adults"
"Luapula","Mansa","Nsonga Rural Health Centre",43,48,"TX_CURR","Adults"
"Luapula","Mansa","Paul Mambilima Rural Health Centre",61,68,"TX_CURR","Adults"
"Luapula","Mansa","Sande Health Post",51,56,"TX_CURR","Adults"
"Luapula","Mansa","Senama Level1 Hospital",2291,2534,"TX_CURR","Adults"
"Luapula","Mansa","Sumbu Health Post",791,874,"TX_CURR","Adults"
"Luapula","Milenge","Chipundu Health Post",42,46,"TX_CURR","Adults"
"Luapula","Milenge","Kabange Rural Health Centre",109,120,"TX_CURR","Adults"
"Luapula","Milenge","Kapalala Rural Health Centre",41,45,"TX_CURR","Adults"
"Luapula","Milenge","Lwela Rural Health Centre",246,272,"TX_CURR","Adults"
"Luapula","Milenge","Milenge District Hospital",53,58,"TX_CURR","Adults"
"Luapula","Milenge","Milenge East 7 Rural Health Centre",226,251,"TX_CURR","Adults"
"Luapula","Milenge","Mulumbi Rural Health Centre",66,72,"TX_CURR","Adults"
"Luapula","Milenge","Sokontwe Rural Health Centre",67,74,"TX_CURR","Adults"
"Luapula","Mwansabombwe","Chipunka Rural Health Centre",132,145,"TX_CURR","Adults"
"Luapula","Mwansabombwe","Kazembe Zonal Rural Health Centre",1719,1900,"TX_CURR","Adults"
"Luapula","Mwansabombwe","Lufubu Rural Health Centre",315,348,"TX_CURR","Adults"
"Luapula","Mwansabombwe","Mbereshi Mission Hospital",1116,1234,"TX_CURR","Adults"
"Luapula","Mwansabombwe","Mukamba Rural Health Centre",53,59,"TX_CURR","Adults"
"Luapula","Mwansabombwe","Salanga Rural Health Centre",215,236,"TX_CURR","Adults"
"Luapula","Mwense","Chibondo Rural Health Centre",33,36,"TX_CURR","Adults"
"Luapula","Mwense","Kashiba Rural Health Centre",428,474,"TX_CURR","Adults"
"Luapula","Mwense","Katuta Rural Health Centre-Mwense",14,15,"TX_CURR","Adults"
"Luapula","Mwense","Kawama Rural Health Centre",262,291,"TX_CURR","Adults"
"Luapula","Mwense","Lubunda Rural Health Centre",148,165,"TX_CURR","Adults"
"Luapula","Mwense","Lukwesa Rural Health Centre",915,1012,"TX_CURR","Adults"
"Luapula","Mwense","Mambilima Mission Hospital",896,991,"TX_CURR","Adults"
"Luapula","Mwense","Mununshi Rural Health Centre",126,140,"TX_CURR","Adults"
"Luapula","Mwense","Musangu Rural Health Centre",556,615,"TX_CURR","Adults"
"Luapula","Mwense","Musonda Rural Health Centre",86,95,"TX_CURR","Adults"
"Luapula","Mwense","Mwense District Hospital",160,177,"TX_CURR","Adults"
"Luapula","Mwense","Mwense Rural Health Centre",1047,1155,"TX_CURR","Adults"
"Luapula","Mwense","Zesco Musonda Rural Health Centre",152,169,"TX_CURR","Adults"
"Luapula","Nchelenge","Chabilikila Rural Health Centre",1203,1325,"TX_CURR","Adults"
"Luapula","Nchelenge","Chisenga Rural Health Centre",477,528,"TX_CURR","Adults"
"Luapula","Nchelenge","Kabalenge Rural Health Centre",118,131,"TX_CURR","Adults"
"Luapula","Nchelenge","Kabuta Rural Health Centre",2263,2500,"TX_CURR","Adults"
"Luapula","Nchelenge","Kafutuma Rural Health Centre",1024,1133,"TX_CURR","Adults"
"Luapula","Nchelenge","Kefulwa Health Post",76,83,"TX_CURR","Adults"
"Luapula","Nchelenge","Kambwali Rural Health Centre",1265,1397,"TX_CURR","Adults"
"Luapula","Nchelenge","Kanyembo Rural Health Centre",866,958,"TX_CURR","Adults"
"Luapula","Nchelenge","Kapambwe Health Post",117,128,"TX_CURR","Adults"
"Luapula","Nchelenge","Kashikishi Hospital Affiliated Health Centre",2231,2464,"TX_CURR","Adults"
"Luapula","Nchelenge","Kasumpa Health Post",33,36,"TX_CURR","Adults"
"Luapula","Nchelenge","Kilwa Rural Health Centre",168,185,"TX_CURR","Adults"
"Luapula","Nchelenge","Lushiba Health Post",167,184,"TX_CURR","Adults"
"Luapula","Nchelenge","Mantampala Rural Health Centre",169,187,"TX_CURR","Adults"
"Luapula","Nchelenge","Mulwe Health Post",184,203,"TX_CURR","Adults"
"Luapula","Nchelenge","Nchelenge Correctional Facility",18,20,"TX_CURR","Adults"
"Luapula","Nchelenge","Nchelenge Rural Health Centre",1990,2199,"TX_CURR","Adults"
"Luapula","Nchelenge","St Pauls Mission Hospital",1589,1759,"TX_CURR","Adults"
"Luapula","Nchelenge","Toka-Toka Health Post",29,32,"TX_CURR","Adults"
"Luapula","Samfya","Chimembe Rural Health Centre",82,90,"TX_CURR","Adults"
"Luapula","Samfya","Chinsaka Rural Health Centre",282,313,"TX_CURR","Adults"
"Luapula","Samfya","Chipako Rural Health Centre",26,29,"TX_CURR","Adults"
"Luapula","Samfya","Fwaka East 8 Rural Health Centre",65,72,"TX_CURR","Adults"
"Luapula","Samfya","Kabongo Rural Health Centre",136,150,"TX_CURR","Adults"
"Luapula","Samfya","Kalasa Mukoso Rural Health Centre",78,87,"TX_CURR","Adults"
"Luapula","Samfya","Kapata East 1 Rural Health Centre",344,379,"TX_CURR","Adults"
"Luapula","Samfya","Kapata Rural Health Centre",52,58,"TX_CURR","Adults"
"Luapula","Samfya","Kasanka Rural Health Centre",410,454,"TX_CURR","Adults"
"Luapula","Samfya","Kasoma Bangweulu Health Post",470,519,"TX_CURR","Adults"
"Luapula","Samfya","Katanshya Rural Health Centre",368,409,"TX_CURR","Adults"
"Luapula","Samfya","Mabo Kunda Rural Health Centre",149,164,"TX_CURR","Adults"
"Luapula","Samfya","Mpanta Rural Health Centre",57,63,"TX_CURR","Adults"
"Luapula","Samfya","Mushili Rural Health Centre",62,68,"TX_CURR","Adults"
"Luapula","Samfya","Ninge Rural Health Centre",25,28,"TX_CURR","Adults"
"Luapula","Samfya","Njipi Rural Health Centre",74,81,"TX_CURR","Adults"
"Luapula","Samfya","Samfya District Hospital",218,241,"TX_CURR","Adults"
"Luapula","Samfya","Samfya Stage II Rural Health Centre",3559,3926,"TX_CURR","Adults"
"Luapula","Chembe","Chembe Min Hospital",0,0,"TX_CURR","Peads"
"Luapula","Chembe","Chembe Rural Health Centre",43,43,"TX_CURR","Peads"
"Luapula","Chembe","Chipete Rural Health Centre",7,7,"TX_CURR","Peads"
"Luapula","Chembe","Fikombo Health Post",0,0,"TX_CURR","Peads"
"Luapula","Chembe","Kasomalwela Rural Health Centre",6,6,"TX_CURR","Peads"
"Luapula","Chembe","Kundamfumu Rural Health Centre",6,6,"TX_CURR","Peads"
"Luapula","Chembe","Lukola Rural Health Centre",3,3,"TX_CURR","Peads"
"Luapula","Chienge","Chienge District Hospital",13,13,"TX_CURR","Peads"
"Luapula","Chienge","Chipungu Rural Health Centre",23,23,"TX_CURR","Peads"
"Luapula","Chienge","Kabole Rural Health Centre",79,79,"TX_CURR","Peads"
"Luapula","Chienge","Kabwe Rural Health Centre",12,12,"TX_CURR","Peads"
"Luapula","Chienge","Kalembwe Rural Health Centre",16,16,"TX_CURR","Peads"
"Luapula","Chienge","Kapako Health Post (Chienge)",1,1,"TX_CURR","Peads"
"Luapula","Chienge","Lambwe Chikwama Health Post",1,1,"TX_CURR","Peads"
"Luapula","Chienge","Lambwe Chomba Rural Health Centre",4,4,"TX_CURR","Peads"
"Luapula","Chienge","Lukata Health Post",0,0,"TX_CURR","Peads"
"Luapula","Chienge","Lunchinda Health Post",40,40,"TX_CURR","Peads"
"Luapula","Chienge","Mukunta Rural Health Centre",16,16,"TX_CURR","Peads"
"Luapula","Chienge","Mwabu Rural Health Centre",7,7,"TX_CURR","Peads"
"Luapula","Chienge","Puta Rural Health Centre",50,50,"TX_CURR","Peads"
"Luapula","Chienge","Sambula Rural Health Centre",16,16,"TX_CURR","Peads"
"Luapula","Chifunabuli","Chishi Rural Health Centre",9,9,"TX_CURR","Peads"
"Luapula","Chifunabuli","Kasaba Mission Hospital",51,51,"TX_CURR","Peads"
"Luapula","Chifunabuli","Lubwe Hospital Affiliated Health Centre",3,3,"TX_CURR","Peads"
"Luapula","Chifunabuli","Lubwe Mission Hospital",69,69,"TX_CURR","Peads"
"Luapula","Chifunabuli","Mbabala Rural Health Centre",6,6,"TX_CURR","Peads"
"Luapula","Chifunabuli","Mundubi Rural Health Centre",3,3,"TX_CURR","Peads"
"Luapula","Chifunabuli","Mwansakombe Rural Health Centre",3,3,"TX_CURR","Peads"
"Luapula","Chifunabuli","Mwewa Health Post",0,0,"TX_CURR","Peads"
"Luapula","Chifunabuli","Nambale Rural Health Centre",3,3,"TX_CURR","Peads"
"Luapula","Chifunabuli","Shikamushile Rural Health Centre",12,12,"TX_CURR","Peads"
"Luapula","Chipili","Chipili Rural Health Centre",13,13,"TX_CURR","Peads"
"Luapula","Chipili","Chisheta Rural Health Centre",5,5,"TX_CURR","Peads"
"Luapula","Chipili","Kalundu Rural Health Centre",2,2,"TX_CURR","Peads"
"Luapula","Chipili","Luminu Rural Health Centre",1,1,"TX_CURR","Peads"
"Luapula","Chipili","Mukanga Health Post",1,1,"TX_CURR","Peads"
"Luapula","Chipili","Mukonshi Rural Health Centre",1,1,"TX_CURR","Peads"
"Luapula","Chipili","Mupeta Rural Health Centre",3,3,"TX_CURR","Peads"
"Luapula","Chipili","Mutipula Rural Health Centre",3,3,"TX_CURR","Peads"
"Luapula","Chipili","Mwenda Rural Health Centre",14,14,"TX_CURR","Peads"
"Luapula","Kawambwa","Kawambwa District Hospital",87,87,"TX_CURR","Peads"
"Luapula","Kawambwa","Kawambwa Hospital Affiliated Health Centre",26,26,"TX_CURR","Peads"
"Luapula","Kawambwa","Kawambwa Tea Rural Health Centre",19,19,"TX_CURR","Peads"
"Luapula","Kawambwa","Mufwaya Rural Health Centre",11,11,"TX_CURR","Peads"
"Luapula","Kawambwa","Munkanta Rural Health Centre",32,32,"TX_CURR","Peads"
"Luapula","Kawambwa","Mushota Zonal Rural Health Centre",48,48,"TX_CURR","Peads"
"Luapula","Kawambwa","Muyembe Rural Health Centre",3,3,"TX_CURR","Peads"
"Luapula","Lunga","Bwalya Mponda Rural Health Centre",57,57,"TX_CURR","Peads"
"Luapula","Lunga","Kalima Nkonde Rural Health Centre",14,14,"TX_CURR","Peads"
"Luapula","Lunga","Kasoma Lunga Rural Health Centre",57,57,"TX_CURR","Peads"
"Luapula","Lunga","Nsalushi Rural Health Centre",42,42,"TX_CURR","Peads"
"Luapula","Mansa","Buntungwa Urban Health Centre",101,101,"TX_CURR","Peads"
"Luapula","Mansa","Central Urban Health Centre",106,106,"TX_CURR","Peads"
"Luapula","Mansa","Chisembe Rural Health Centre",11,11,"TX_CURR","Peads"
"Luapula","Mansa","Chisunka Rural Health Centre",5,5,"TX_CURR","Peads"
"Luapula","Mansa","Fibale Health Post",16,16,"TX_CURR","Peads"
"Luapula","Mansa","Fimpulu Rural Health Centre",8,8,"TX_CURR","Peads"
"Luapula","Mansa","Fiyongoli Health Post",37,37,"TX_CURR","Peads"
"Luapula","Mansa","Kabunda Rural Health Centre",0,0,"TX_CURR","Peads"
"Luapula","Mansa","Kafula Health Post",2,2,"TX_CURR","Peads"
"Luapula","Mansa","Kalaba Rural Health Centre (Mansa)",8,8,"TX_CURR","Peads"
"Luapula","Mansa","Kansenga Rural Health Centre",6,6,"TX_CURR","Peads"
"Luapula","Mansa","Kapanda Mini-Hospital",13,13,"TX_CURR","Peads"
"Luapula","Mansa","Kapompwa Health Post",10,10,"TX_CURR","Peads"
"Luapula","Mansa","Kasongo Mini-Hospital",11,11,"TX_CURR","Peads"
"Luapula","Mansa","Katangwe Rural Health Centre",0,0,"TX_CURR","Peads"
"Luapula","Mansa","Lubende Rural Health Centre",10,10,"TX_CURR","Peads"
"Luapula","Mansa","Mabumba Rural Health Centre",43,43,"TX_CURR","Peads"
"Luapula","Mansa","Malamba Health Post",5,5,"TX_CURR","Peads"
"Luapula","Mansa","Mano Rural Health Centre",5,5,"TX_CURR","Peads"
"Luapula","Mansa","Mansa Correctional Facility",0,0,"TX_CURR","Peads"
"Luapula","Mansa","Mansa District Hospital",11,11,"TX_CURR","Peads"
"Luapula","Mansa","Mansa General Hospital",157,157,"TX_CURR","Peads"
"Luapula","Mansa","Mantumbusa Rural Health Centre",3,3,"TX_CURR","Peads"
"Luapula","Mansa","Mashimi Health Post",0,0,"TX_CURR","Peads"
"Luapula","Mansa","Matanda Rural Health Centre",5,5,"TX_CURR","Peads"
"Luapula","Mansa","Matelo Health Post",0,0,"TX_CURR","Peads"
"Luapula","Mansa","Mibenge Rural Health Centre",8,8,"TX_CURR","Peads"
"Luapula","Mansa","Moloshi Rural Health Centre",3,3,"TX_CURR","Peads"
"Luapula","Mansa","Mufuma Health Post",8,8,"TX_CURR","Peads"
"Luapula","Mansa","Musaila Rural Health Centre",0,0,"TX_CURR","Peads"
"Luapula","Mansa","Musumali Health Post",37,37,"TX_CURR","Peads"
"Luapula","Mansa","Mutiti Rural Health Centre",5,5,"TX_CURR","Peads"
"Luapula","Mansa","Mutwewankoko Rural Health Centre",3,3,"TX_CURR","Peads"
"Luapula","Mansa","Muwanguni Rural Health Centre",5,5,"TX_CURR","Peads"
"Luapula","Mansa","Mwela Health Post",0,0,"TX_CURR","Peads"
"Luapula","Mansa","Namwandwe Health Post",32,32,"TX_CURR","Peads"
"Luapula","Mansa","Ndoba Rural Health Centre",10,10,"TX_CURR","Peads"
"Luapula","Mansa","Nsonga Rural Health Centre",0,0,"TX_CURR","Peads"
"Luapula","Mansa","Paul Mambilima Rural Health Centre",6,6,"TX_CURR","Peads"
"Luapula","Mansa","Sande Health Post",2,2,"TX_CURR","Peads"
"Luapula","Mansa","Senama Level1 Hospital",136,136,"TX_CURR","Peads"
"Luapula","Mansa","Sumbu Health Post",43,43,"TX_CURR","Peads"
"Luapula","Milenge","Chipundu Health Post",0,0,"TX_CURR","Peads"
"Luapula","Milenge","Kabange Rural Health Centre",2,2,"TX_CURR","Peads"
"Luapula","Milenge","Kapalala Rural Health Centre",0,0,"TX_CURR","Peads"
"Luapula","Milenge","Lwela Rural Health Centre",12,12,"TX_CURR","Peads"
"Luapula","Milenge","Milenge District Hospital",0,0,"TX_CURR","Peads"
"Luapula","Milenge","Milenge East 7 Rural Health Centre",14,14,"TX_CURR","Peads"
"Luapula","Milenge","Mulumbi Rural Health Centre",2,2,"TX_CURR","Peads"
"Luapula","Milenge","Sokontwe Rural Health Centre",5,5,"TX_CURR","Peads"
"Luapula","Mwansabombwe","Chipunka Rural Health Centre",2,2,"TX_CURR","Peads"
"Luapula","Mwansabombwe","Kazembe Zonal Rural Health Centre",82,82,"TX_CURR","Peads"
"Luapula","Mwansabombwe","Lufubu Rural Health Centre",7,7,"TX_CURR","Peads"
"Luapula","Mwansabombwe","Mbereshi Mission Hospital",67,67,"TX_CURR","Peads"
"Luapula","Mwansabombwe","Mukamba Rural Health Centre",2,2,"TX_CURR","Peads"
"Luapula","Mwansabombwe","Salanga Rural Health Centre",3,3,"TX_CURR","Peads"
"Luapula","Mwense","Chibondo Rural Health Centre",1,1,"TX_CURR","Peads"
"Luapula","Mwense","Kashiba Rural Health Centre",28,28,"TX_CURR","Peads"
"Luapula","Mwense","Katuta Rural Health Centre-Mwense",2,2,"TX_CURR","Peads"
"Luapula","Mwense","Kawama Rural Health Centre",19,19,"TX_CURR","Peads"
"Luapula","Mwense","Lubunda Rural Health Centre",17,17,"TX_CURR","Peads"
"Luapula","Mwense","Lukwesa Rural Health Centre",53,53,"TX_CURR","Peads"
"Luapula","Mwense","Mambilima Mission Hospital",45,45,"TX_CURR","Peads"
"Luapula","Mwense","Mununshi Rural Health Centre",9,9,"TX_CURR","Peads"
"Luapula","Mwense","Musangu Rural Health Centre",38,38,"TX_CURR","Peads"
"Luapula","Mwense","Musonda Rural Health Centre",1,1,"TX_CURR","Peads"
"Luapula","Mwense","Mwense District Hospital",7,7,"TX_CURR","Peads"
"Luapula","Mwense","Mwense Rural Health Centre",34,34,"TX_CURR","Peads"
"Luapula","Mwense","Zesco Musonda Rural Health Centre",18,18,"TX_CURR","Peads"
"Luapula","Nchelenge","Chabilikila Rural Health Centre",20,20,"TX_CURR","Peads"
"Luapula","Nchelenge","Chisenga Rural Health Centre",35,35,"TX_CURR","Peads"
"Luapula","Nchelenge","Kabalenge Rural Health Centre",12,12,"TX_CURR","Peads"
"Luapula","Nchelenge","Kabuta Rural Health Centre",106,106,"TX_CURR","Peads"
"Luapula","Nchelenge","Kafutuma Rural Health Centre",60,60,"TX_CURR","Peads"
"Luapula","Nchelenge","Kefulwa Health Post",0,0,"TX_CURR","Peads"
"Luapula","Nchelenge","Kambwali Rural Health Centre",60,60,"TX_CURR","Peads"
"Luapula","Nchelenge","Kanyembo Rural Health Centre",54,54,"TX_CURR","Peads"
"Luapula","Nchelenge","Kapambwe Health Post",0,0,"TX_CURR","Peads"
"Luapula","Nchelenge","Kashikishi Hospital Affiliated Health Centre",99,99,"TX_CURR","Peads"
"Luapula","Nchelenge","Kasumpa Health Post",2,2,"TX_CURR","Peads"
"Luapula","Nchelenge","Kilwa Rural Health Centre",2,2,"TX_CURR","Peads"
"Luapula","Nchelenge","Lushiba Health Post",7,7,"TX_CURR","Peads"
"Luapula","Nchelenge","Mantampala Rural Health Centre",12,12,"TX_CURR","Peads"
"Luapula","Nchelenge","Mulwe Health Post",8,8,"TX_CURR","Peads"
"Luapula","Nchelenge","Nchelenge Correctional Facility",0,0,"TX_CURR","Peads"
"Luapula","Nchelenge","Nchelenge Rural Health Centre",96,96,"TX_CURR","Peads"
"Luapula","Nchelenge","St Pauls Mission Hospital",114,114,"TX_CURR","Peads"
"Luapula","Nchelenge","Toka-Toka Health Post",3,3,"TX_CURR","Peads"
"Luapula","Samfya","Chimembe Rural Health Centre",3,3,"TX_CURR","Peads"
"Luapula","Samfya","Chinsaka Rural Health Centre",20,20,"TX_CURR","Peads"
"Luapula","Samfya","Chipako Rural Health Centre",2,2,"TX_CURR","Peads"
"Luapula","Samfya","Fwaka East 8 Rural Health Centre",6,6,"TX_CURR","Peads"
"Luapula","Samfya","Kabongo Rural Health Centre",6,6,"TX_CURR","Peads"
"Luapula","Samfya","Kalasa Mukoso Rural Health Centre",3,3,"TX_CURR","Peads"
"Luapula","Samfya","Kapata East 1 Rural Health Centre",11,11,"TX_CURR","Peads"
"Luapula","Samfya","Kapata Rural Health Centre",0,0,"TX_CURR","Peads"
"Luapula","Samfya","Kasanka Rural Health Centre",26,26,"TX_CURR","Peads"
"Luapula","Samfya","Kasoma Bangweulu Health Post",23,23,"TX_CURR","Peads"
"Luapula","Samfya","Katanshya Rural Health Centre",50,50,"TX_CURR","Peads"
"Luapula","Samfya","Mabo Kunda Rural Health Centre",5,5,"TX_CURR","Peads"
"Luapula","Samfya","Mpanta Rural Health Centre",2,2,"TX_CURR","Peads"
"Luapula","Samfya","Mushili Rural Health Centre",2,2,"TX_CURR","Peads"
"Luapula","Samfya","Ninge Rural Health Centre",3,3,"TX_CURR","Peads"
"Luapula","Samfya","Njipi Rural Health Centre",3,3,"TX_CURR","Peads"
"Luapula","Samfya","Samfya District Hospital",12,12,"TX_CURR","Peads"
"Luapula","Samfya","Samfya Stage II Rural Health Centre",108,108,"TX_CURR","Peads"
"Luapula","Chembe","Chembe Rural Health Centre",587,587,"PMTCT_STAT D","Adults"
"Luapula","Chembe","Chipete Rural Health Centre",206,206,"PMTCT_STAT D","Adults"
"Luapula","Chembe","Fikombo Health Post",24,24,"PMTCT_STAT D","Adults"
"Luapula","Chembe","Kasomalwela Rural Health Centre",155,155,"PMTCT_STAT D","Adults"
"Luapula","Chembe","Kundamfumu Rural Health Centre",218,218,"PMTCT_STAT D","Adults"
"Luapula","Chembe","Lukola Rural Health Centre",146,146,"PMTCT_STAT D","Adults"
"Luapula","Chienge","Chipungu Rural Health Centre",362,362,"PMTCT_STAT D","Adults"
"Luapula","Chienge","Kabole Rural Health Centre",380,380,"PMTCT_STAT D","Adults"
"Luapula","Chienge","Kabwe Rural Health Centre",130,130,"PMTCT_STAT D","Adults"
"Luapula","Chienge","Kalembwe Rural Health Centre",367,367,"PMTCT_STAT D","Adults"
"Luapula","Chienge","Kapako Health Post (Chienge)",21,21,"PMTCT_STAT D","Adults"
"Luapula","Chienge","Lambwe Chikwama Health Post",50,50,"PMTCT_STAT D","Adults"
